id,asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,categoryId
260,B0CHZ7YXTV,ERICAT British Style Round Head Low Boots Ladies Spring and Autumn Single Boots Heightening Thick Bottom Short Boots Winter Brown Biker Boots,https://m.media-amazon.com/images/I/51TxNEmL6CL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHZ7YXTV,0.0,0,30.08,False,0,Ballet & Dancing Footwear,20
262,B0CHWFP2C1,UK Stock Sale Sandals For Women Size 8 Wide Fitting Women Ballroom Dance Shoes Latin Salsa Performance Casual Comfortable Dance Shoes Women'S Sandals With Arch Support Shoe For Women UK Size,https://m.media-amazon.com/images/I/61a8wOkvnUL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHWFP2C1,0.0,0,14.99,False,0,Ballet & Dancing Footwear,20
264,B018SIW8OQ,Katz Dancewear Girls Ladies Black Glitter Low Heel Tap Dance Shoes with Tap Plates,https://m.media-amazon.com/images/I/51YGklFxpzL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B018SIW8OQ,3.8,9,28.0,False,0,Ballet & Dancing Footwear,20
266,B09Z673BDW,"Bridal Low Help Wedding Shoes, Imitation Flower Wedding Ceremony Shoes, Womens Bridal Shoes, Ladies High Heel Dance Shoes Standard/Latin, Heel Height 5CM",https://m.media-amazon.com/images/I/51sXFDMB9aL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09Z673BDW,0.0,0,38.99,False,0,Ballet & Dancing Footwear,20
268,B0018QC4XG,Capezio Women's E-Series Jazz Slip on Loafer,https://m.media-amazon.com/images/I/71r2h2EMxSL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0018QC4XG,4.1,344,36.75,False,0,Ballet & Dancing Footwear,20
270,B08L88P64R,Canvas Ballet Dance Shoes Split Suede Sole Adults Children's &,https://m.media-amazon.com/images/I/81A371UWxRL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B08L88P64R,4.1,12,3.49,False,0,Ballet & Dancing Footwear,20
272,B0196OYV5K,MINITOO Women's Leather Dance Shoes Ballroom Heels with Ankle Strap Black UK 4,https://m.media-amazon.com/images/I/61n+83+Q7xL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0196OYV5K,4.0,29,38.99,False,0,Ballet & Dancing Footwear,20
274,B0CHYHD9Z4,"Wouke Womens Court Shoes Pointed Toe,Women's Sandal Women Court Shoes Shoes Men Women Steel Toe Cap Work Boots Women's Ballet Womens Black Heeled Ankle Boot",https://m.media-amazon.com/images/I/51jsuyvaROL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CHYHD9Z4,0.0,0,4.09,False,0,Ballet & Dancing Footwear,20
276,B0CGRKZ8Z8,"Sandals For Women, Women'S Summer Evening Party Prom Bridal Wedding Shoes Latin Dance Shoes High Heel Dancing Shoes Soft Bottom Sandals(3cm)",https://m.media-amazon.com/images/I/61jKmviMKZL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CGRKZ8Z8,0.0,0,38.13,False,0,Ballet & Dancing Footwear,20
0,B000ACNNYI,Capezio Women's Canvas Juliet Ballet Shoe Flat,https://m.media-amazon.com/images/I/71PWIYYaCIL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B000ACNNYI,4.3,640,29.62,False,0,Ballet & Dancing Footwear,20
